user,goal,tagging,tagged,left
user0,50,72,54,-4
user1,50,0,116,-66
user2,50,0,117,-67
user3,50,6,50,0
user4,50,30,9,41
user5,50,0,0,50
user6,50,0,44,6
user7,50,0,0,50
user8,50,0,15,35
user9,50,0,0,50
user10,50,0,4,46
user11,50,39,37,13
user12,50,0,16,34
user13,50,2,31,19
user14,50,0,0,50
user15,50,0,0,50
user16,50,1,10,40
user17,50,0,26,24
user18,50,1,20,30
user19,50,5,10,40
user20,50,3,11,39
user21,50,0,0,50
user22,50,0,0,50
user23,50,0,0,50
user24,50,0,0,50
user25,50,0,0,50
